n1,n2,t1,t2,phi1,phi2,R_mean
1.6869021545015712,2.4359285983328913,1.6907884894416699e-07,1.4374511199743696e-07,2.0743234513786253,2.546566030437244,0.1509447094851071
1.4028242325751674,1.4027928764370634,4.1035886311957894e-08,1.945734676972377e-07,0.4186628052626484,1.9850638140315788,0.030595042625621825
1.9814495152661715,2.120494351134859,3.3911053916202464e-08,2.1428287191077892e-07,0.4886766643230864,3.3046226867764448,0.14677501118961225
2.282175433040548,1.476040843881759,6.454674376934912e-08,6.484685687215243e-08,1.0713235848230662,0.6961207952047382,0.29415621986045565
1.595514915847399,1.8821833611219092,1.12069553542002e-07,8.533353663762797e-08,1.3004265039172573,1.1680971840365832,0.06404834041617777
1.9954087631390933,1.3813420188476544,8.550748322169145e-08,9.960875022580143e-08,1.2408900460693242,1.0006818336858203,0.2081058138413213
1.7928909794821468,2.2207287498109176,6.793801861008834e-08,1.277045432985862e-07,0.8858578962175825,2.0625247329792256,0.075907636757115
1.9701389395206552,1.260385536535997,1.4543352186127328e-07,6.239958350058538e-08,2.0838126874947127,0.5719820547636949,0.0994984827258493
1.2845670708808634,2.433551198429333,2.1347008628416628e-07,1.8359549614212763e-07,1.9943028615180847,3.249374833912019,0.20954229820323406
1.5959978999253819,1.326973748208299,1.6000427503730982e-07,1.1362897381052424e-07,1.8572108140991248,1.09660120205392,0.04648895194805289
1.3586497052982125,1.8437299831446512,3.6533819011891496e-08,2.0277087639496861e-07,0.3609939086103608,2.718943596493975,0.08034146273585882
1.536413976080022,2.0612789696601768,8.922510445698808e-08,1.2881292402378407e-07,0.9969941636721188,1.931049973168438,0.024516220401254854
1.9107233631462637,1.440310792183185,2.1422107927526614e-07,1.7727523643861178e-07,2.976852516724792,1.856955899849879,0.1279376871369307
2.421348624033446,2.3632755555559433,1.4360099597410618e-07,2.051561046543922e-07,2.528785992812614,3.526112052384014,0.21728555018791587
1.3150402526674954,1.4547777211448887,3.859318489300223e-08,9.181276284502022e-08,0.36910248445772376,0.9713975411177791,0.02359056909082983
1.7052804765963265,1.5527537413060646,1.874601267388666e-07,9.778313207178196e-08,2.3248879583131794,1.1042409029897051,0.06556628111098553
1.5652148625935949,1.9055049081057231,5.67756027452049e-08,1.8241742634326753e-07,0.646298307269123,2.5279803725171672,0.06049310370902635
1.296915836783702,2.482953017580672,1.7672650616636492e-07,6.775597949149276e-08,1.6669047609208087,1.2235266453638989,0.2640357121847487
1.2071787522606832,2.2600998569912845,1.6430289533104727e-07,1.685113619277876e-07,1.442494284934918,2.7698363999592677,0.14054091796352616
2.2026514506917296,1.2962580472543175,9.81084884234118e-08,5.201512130977465e-08,1.5716276680072783,0.49036377873967213,0.18452980788079765
2.3220344536382713,2.010287564875825,9.287062472200334e-08,4.207608655434449e-08,1.5683548388029231,0.6151638805733646,0.12633753065465886
1.604277018230361,1.622738318634771,1.6862517388423218e-07,1.511359195574905e-07,1.9674290266005245,1.7836658035493973,0.0588286537711309
2.3533765653492242,1.813879402710534,5.272290672827732e-08,1.6551650957236907e-07,0.9023771138285147,2.1834690001589903,0.2685370625930211
2.1890205632019666,1.929660356840345,1.764837641913666e-07,1.2382116330923425e-07,2.8096479191722787,1.7376930194595168,0.1440629977669921
1.879552678196592,1.7558033238661146,3.4829634081378086e-08,5.049937112872784e-08,0.476102778314629,0.6448506449525007,0.12836216096330105
1.2408579413927545,2.0273335346429144,8.972763640450206e-08,1.2662843132129354e-07,0.8097400014176582,1.8670404745955314,0.0171890711206505
2.379836416103921,1.5240798978935373,1.0797275537676965e-07,1.7355471632317925e-07,1.8687817832197589,1.923718213329257,0.1281661725512882
1.4974376151391091,1.3000738827774307,8.505277605361592e-08,6.063204457826084e-08,0.9262634627977263,0.5732810008406825,0.07606613407811612
2.408606948045345,2.2505564934337423,1.5034671373698048e-07,1.9557751213566636e-07,2.6336446496194594,3.2011508356839307,0.21764485931386016
2.2447736999688486,1.4425410765518465,1.995862097130958e-07,1.3247502596397364e-07,3.2583699959303605,1.3898230296022134,0.2101796705299047
2.249672201713281,2.3649186899005414,9.042066024465413e-08,5.090986566025858e-08,1.4793952422760699,0.8756195840019729,0.16276376864032097
1.4963157113045242,1.7552401252141332,1.854228055252737e-07,1.9353881081870528e-07,2.017825870120948,2.4705969929834084,0.05844570066451963
1.2090377696905479,1.8639714933508356,1.09308090598268e-07,7.220048398943875e-08,0.9611462550259076,0.9787610469996162,0.059288561504029016
1.3558249775337876,1.6388997228247164,2.0915284374337865e-07,9.140855708394348e-08,2.0623610885054116,1.0895233372267799,0.054751205308183934
1.874427808266376,2.1139246465637314,9.908962445206586e-08,2.1463859571698253e-07,1.3508098006081752,3.2998532188360574,0.09036716425566563
2.4511814834247447,1.5273169845729733,1.2447721611955325e-07,8.716687886518624e-08,2.219027252803702,0.9682287606037372,0.15722024495736867
1.5702926426907078,1.2479530315608927,1.458172234561804e-07,1.2550901441348367e-07,1.6652779139696505,1.1391225820038307,0.0600730285353044
1.2669223766249862,1.562240403507595,2.0257051833366422e-07,7.551675922672475e-08,1.8664808910650268,0.8580024174977772,0.041597151329191034
